code,name
1332,ニッスイ
1925,大和ハウス工業
1928,積水ハウス
2502,アサヒグループHD
2503,キリンHD
2802,味の素
2914,日本たばこ産業
3382,セブン&アイHD
4063,信越化学工業
4452,花王
4502,武田薬品工業
4503,アステラス製薬
4519,中外製薬
4523,エーザイ
4543,テルモ
4568,第一三共
4661,オリエンタルランド
4901,富士フイルムHD
5108,ブリヂストン
6098,リクルートHD
6273,SMC
6301,コマツ
6367,ダイキン工業
6501,日立製作所
6594,ニデック
6645,オムロン
6701,NEC
6702,富士通
6752,パナソニックHD
6758,ソニーグループ
6861,キーエンス
6902,デンソー
6920,レーザーテック
6954,ファナック
6981,村田製作所
7011,三菱重工業
7203,トヨタ自動車
7267,ホンダ
7269,スズキ
7741,HOYA
7751,キヤノン
7974,任天堂
8001,伊藤忠商事
8002,丸紅
8031,三井物産
8035,東京エレクトロン
8053,住友商事
8058,三菱商事
8306,三菱UFJ FG
8316,三井住友FG
8411,みずほFG
8591,オリックス
8766,東京海上HD
9020,JR東日本
9022,JR東海
9432,NTT
9433,KDDI
9434,ソフトバンク
9983,ファーストリテイリング
9984,ソフトバンクグループ
